Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"FileHandler$Updater_7",2,0.00,1.50,10,0.09,1662.45,2,0,23,2,2,73.11,20,17,5.00
"FileHandlerListener",5,0.00,1.00,6,0.20,2850.34,5,0,0,5,2,113.89,30,8,0.00
"FileHandlerListenerAdapter",5,0.00,1.00,6,0.05,293.29,5,0,0,5,3,174.51,15,23,3.00
"FileHandlerReloadingDetector",12,0.06,1.58,51,0.46,11388.43,18,6,5,12,9,76.44,124,103,12.00
"FileLocationStrategy",1,0.00,1.00,2,0.01,77.11,1,0,1,1,19,153.81,17,4,0.00
"FileLocator",11,0.03,1.18,39,0.46,11286.09,17,6,5,11,32,77.31,107,85,39.00
"FileLocator$FileLocatorBuilder",9,0.06,1.11,37,0.22,2523.19,15,6,5,9,3,81.40,70,59,6.00
"FileLocatorAware",1,0.00,1.00,2,0.01,58.06,1,0,0,1,4,108.09,12,4,0.00
"FileLocatorUtils",24,0.03,2.00,127,1.69,52072.72,34,10,11,26,30,92.03,323,274,26.00
"FileOptionsProvider",1,6.00,1.00,8,0.11,1156.43,7,6,1,1,2,144.87,31,10,0.00
"FileSystem",12,0.24,1.00,21,0.18,1855.02,15,3,6,13,37,176.80,29,31,8.00
"FileSystemLocationStrategy",1,0.00,1.00,3,0.04,472.95,1,0,1,1,6,158.19,19,9,6.00
"FileURLStreamHandler",1,0.00,1.00,4,0.11,3438.88,1,0,9,1,1,78.17,7,8,8.00
"FileURLStreamHandler$URLConnection",3,0.00,1.00,6,0.05,528.21,3,0,9,3,0,141.86,0,16,4.00
"FileUtils",2,1.00,4.50,32,0.48,36382.22,3,1,4,3,1,133.29,43,42,51.00
"FindNodeVisitor",5,0.12,1.20,14,0.10,1189.36,7,2,2,5,1,98.56,32,30,3.00
"HierarchicalBuilderParameters",0,0.00,0.00,1,0.02,162.30,0,0,4,0,7,171.00,0,7,0.00
"HierarchicalBuilderParametersImpl",2,0.00,1.00,8,0.07,1030.46,3,1,2,2,7,82.83,22,19,4.00
"HierarchicalBuilderProperties",1,0.00,1.00,2,0.02,166.86,1,0,1,1,3,99.75,7,4,0.00
"HierarchicalConfiguration",9,0.00,1.00,10,1.62,55971.96,9,0,4,9,43,145.17,150,15,0.00
"HierarchicalConfigurationConverter",7,0.00,2.29,59,0.67,22711.78,7,0,9,7,2,72.93,86,83,19.00
"HierarchicalConfigurationXMLReader",6,0.80,1.00,16,0.14,1790.25,7,1,5,6,4,86.71,49,36,28.00
"HierarchicalConfigurationXMLReader$SAXVisitor",5,1.00,1.60,24,0.28,7951.51,6,1,5,5,0,72.74,39,44,10.00
"HomeDirectoryLocationStrategy",8,0.14,1.38,28,0.26,4060.09,11,3,3,8,6,80.25,79,60,9.00
"HsqlDB",5,0.00,2.20,39,0.47,15566.60,7,2,8,6,1,159.17,6,74,8.00
"INIConfiguration",22,0.13,2.91,224,2.88,181305.13,27,5,23,23,12,124.23,407,463,33.00
